HSM_flask,probe_name,avg_intensity
1,neg_scramble,133.394
1,neg_scramble,132.548
1,neg_scramble,130.034
1,neg_scramble,134.587
1,neg_scramble,133.408
1,neg_scramble,132.531
1,neg_scramble,126.213
1,neg_scramble,131.387
1,neg_scramble,132.417
2,neg_scramble,138.406
2,neg_scramble,138.087
2,neg_scramble,135.159
2,neg_scramble,130.379
2,neg_scramble,132.32
2,neg_scramble,133.146
2,neg_scramble,138.819
2,neg_scramble,139.433
2,neg_scramble,131.918
3,neg_scramble,134.087
3,neg_scramble,133.76
3,neg_scramble,132.27
3,neg_scramble,135.34
3,neg_scramble,132.947
3,neg_scramble,120.581
3,neg_scramble,130.316
3,neg_scramble,128.803
3,neg_scramble,129.269
1,probe_atpB,183.171
1,probe_atpB,177.718
1,probe_atpB,175.384
1,probe_atpB,200.598
1,probe_atpB,180.587
1,probe_atpB,184.624
1,probe_atpB,179.709
1,probe_atpB,188.252
1,probe_atpB,178.962
2,probe_atpB,172.918
2,probe_atpB,184.547
2,probe_atpB,178.592
2,probe_atpB,184.591
2,probe_atpB,164.191
2,probe_atpB,158.938
2,probe_atpB,177.436
2,probe_atpB,192.244
2,probe_atpB,173.601
3,probe_atpB,161.349
3,probe_atpB,170.998
3,probe_atpB,164.881
3,probe_atpB,165.518
3,probe_atpB,158.266
3,probe_atpB,147.707
3,probe_atpB,145.922
3,probe_atpB,159.658
3,probe_atpB,168.855
2,probe_petA,144.312
2,probe_petA,145.952
2,probe_petA,149.044
2,probe_petA,141.975
2,probe_petA,166.822
2,probe_petA,153.779
2,probe_petA,157.952
2,probe_petA,155.019
2,probe_petA,151.118
3,probe_petA,157.682
3,probe_petA,172.483
3,probe_petA,156.504
3,probe_petA,164.751
3,probe_petA,163.305
3,probe_petA,173.194
3,probe_petA,162.897
3,probe_petA,159.494
3,probe_petA,164.369
1,probe_petA,168.072
1,probe_petA,166.476
1,probe_petA,162.496
1,probe_petA,159.856
1,probe_petA,158.139
1,probe_petA,161.678
1,probe_petA,171.024
1,probe_petA,158.237
1,probe_petA,158.29
